FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Romain,Saiss,DEF,WOL,4400000,2,17,1.7,3.86363636363636E-07,3.86363636363636E-06,0,26987,2,9,0,0,0,1,0,3.9,697,-1,0,17,1,0.5,0,2.2,1,0,1,0,1,0.4,30938,0,-1,0,0,421,1174,0,1,86,Arsenal,Aston Villa,Bournemouth,Sheffield United,West Ham,0.9,1.7,0.8,1.1,1.4,0.9,1.5,0.9,0.9,1.1,1.3,1.8,1.5,1.1,1,1.2,1.4,1.1,1.1,1.3,0.8,1.3,1.2,1.3,1.9,0.8,1.5,1
Bukayo,Saka,MID,ARS,4500000,1,11,1.1,2.44444444444444E-07,2.44444444444444E-06,0,26599,1,3,0,0,0,0,0,2.4,6227,0,0,11,0,0.6,0,2.5,0,0,1,0,1,1.2,101403,0,-1,0,0,325,4571,0,0,41,Wolverhampton,Leicester,Southampton,Norwich,Brighton,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.8,0.6,0.6,0.8,0.7,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.8
Mamadou,Sakho,DEF,CRY,5000000,0,3,0.3,6E-08,6E-07,0,5795,0,5,0,0,0,0,0,0.6,189,0,0,3,0,0,0,0,0,0,0,0,0,0.1,2714,0,-1,0,0,191,12,0,0,30,Leicester,Chelsea,Liverpool,Burnley,Bournemouth,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Mohamed,Salah,MID,LIV,12400000,7,62,6.9,5.56451612903226E-07,5E-06,0,1746303,0,6,0,0,0,5,0,5,79345,-1,0,62,1,0.2,0,3,7,0,3,0,3,29.2,878148,0,-1,0,2,792,13205,0,0,175,Aston Villa,Man City,Crystal Palace,Brighton,Everton,7,5.7,8.2,9.6,9.8,9.1,9.6,0,6.7,9,8.7,7.4,9.4,9.4,8.2,7.9,8.4,8.9,9.3,7.8,9.5,6.6,8.9,8.9,9.7,8.5,7.7,8.8
Alexis,Sanchez,MID,MUN,6800000,0,0,0,0,0,0,41798,0,0,0,0,0,0,0,0,211,-2,0,0,2,0,0,0,0,0,0,0,0,0.4,1036,0,-1,0,0,0,25,0,0,0,Bournemouth,Brighton,Sheffield United,Aston Villa,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davinson,Sanchez,DEF,TOT,5300000,1,6,1,1.88679245283019E-07,1.13207547169811E-06,0,52059,2,9,0,0,0,0,0,1.1,931,-2,0,6,2,0,0,0.2,0,0,0,0,0,0.9,18138,0,-1,0,0,495,746,0,0,77,Everton,Sheffield United,West Ham,Bournemouth,Man Utd,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.5,0.9,0.5,0.6,0.5,0.6,0.5
Leroy,Sane,MID,MCI,9300000,0,0,0,0,0,0,32526,0,0,0,0,0,0,0,0,168,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,1181,0,-1,0,0,0,35,0,0,0,Southampton,Liverpool,Chelsea,Newcastle,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ismaila,Sarr,MID,WAT,6200000,0,6,0.6,9.67741935483871E-08,9.67741935483871E-07,0,24352,0,4,0,0,0,0,0,1,423,-3,0,6,3,0.1,0,0.8,0,0,0,0,0,0.1,5620,0,-1,0,0,166,27,0,0,10,Chelsea,Norwich,Burnley,Southampton,Leicester,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Fabian,Schar,DEF,NEW,5000000,0,32,3.6,7.2E-07,6.4E-06,0,120382,2,14,0,0,0,1,0,6.4,13495,0,0,32,0,0.3,0,1.5,2,0,3,0,0,2.1,130236,0,-1,0,0,793,205,0,0,144,West Ham,Bournemouth,Aston Villa,Man City,Sheffield United,0,0,3.6,3.3,3.8,3.6,2.4,4.9,3,5.4,4.3,3.1,4,3.6,4.6,2.7,3.3,3.9,4,4,5.3,2.4,4.7,2.9,3.6,4.9,2.7,3.9
Ezequiel,Schelotto,DEF,BHA,4000000,1,1,0.1,2.5E-08,2.5E-07,0,1774,0,1,0,0,0,0,0,0.2,577,0,0,1,0,0,0,0.2,0,0,0,0,0,0.1,7618,0,-1,0,0,24,4272,0,0,1,Norwich,Man Utd,Leicester,Liverpool,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
