FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
John,McGinn,MID,AVL,5500000,0,61,3.4,6.18181818181818E-07,1.10909090909091E-05,0,1264357,2,30,0,0,0,3,0,11.1,26918,0,0,61,0,0.2,0,0.9,4,0,3,0,2,3.7,1282688,0,-1,0,0,1537,62,0,0,253,Man City,Brighton,Watford,Bournemouth,Tottenham,0,0,0,0,0,3.2,4.6,2,3,2.7,3.9,1.8,4,3.8,2.4,4,2.2
David,McGoldrick,FWD,SHU,5400000,2,39,2.2,4.07407407407407E-07,7.22222222222222E-06,0,43927,2,13,0,0,0,0,0,7.2,1002,-1,0,39,1,0.4,0,2,3,0,5,0,2,0.2,41577,0,-1,0,0,1255,840,0,0,98,West Ham,Arsenal,Man City,Crystal Palace,Bournemouth,1.8,1.8,2,1.6,2,1.9,1.6,2.7,1.3,1.7,2.3,1.7,1.8,1.9,1.4,2,2.2
Michael,McGovern,GLK,NOR,4000000,0,11,0.523809523809524,1.30952380952381E-07,2.75E-06,0,204375,0,6,0,7,0,0,0,2.8,8903,0,0,11,0,0,0,0,2,0,0,0,0,7,354680,0,-1,1,0,158,15633,0,0,46,Man Utd,Bournemouth,Tottenham,Newcastle,Liverpool,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Kenny,McLean,MID,NOR,4900000,2,43,2.1,4.28571428571429E-07,8.77551020408163E-06,0,15628,4,34,0,0,0,1,0,8.8,305,-1,0,43,1,0.4,0,1.9,0,0,2,0,1,0.2,11230,0,-1,0,0,1568,63,0,0,236,Man Utd,Bournemouth,Tottenham,Newcastle,Liverpool,1,1.9,1,1.4,1.1,1.4,1.3,1.9,1.6,1.9,1.4,1.8,1.4,1.4,1.1,1.9,1
Dwight,McNeil,MID,BUR,6000000,2,67,3.2,5.33333333333333E-07,1.11666666666667E-05,0,120135,3,32,0,0,0,1,0,11.2,4635,0,0,67,0,0.3,0,2,1,0,8,0,5,0.6,126387,0,-1,0,0,1809,388,0,0,277,Chelsea,Leicester,Man Utd,Arsenal,Southampton,2.4,2.5,2.2,3.4,3.2,3.6,2.7,2.9,1.7,3.8,2.4,4.1,2.3,1.9,3.4,2.3,3.3
Scott,McTominay,MID,MUN,5000000,0,55,3.2,6.4E-07,1.1E-05,0,374875,2,17,0,0,0,2,0,11,15300,0,0,55,0,0.2,0,1.1,6,0,2,0,2,1.4,393577,0,-1,0,0,1451,101,0,0,237,Norwich,Liverpool,Burnley,Wolverhampton,Chelsea,0,0,0,0,0,0,2.1,2.3,1.7,4.3,2.3,3.8,1.7,3.3,2,3,1.8
Ben,Mee,DEF,BUR,5000000,1,53,2.5,5E-07,1.06E-05,0,64073,3,34,0,0,0,0,0,10.6,3443,0,0,53,0,0.5,0,2.5,0,0,7,0,0,0.9,59729,0,-1,0,0,1890,948,0,0,330,Chelsea,Leicester,Man Utd,Arsenal,Southampton,2,2,1.6,2,1.9,2.3,2.4,2.9,1.9,2.5,2.2,2.1,2.4,2,2.1,2,2.4
Benjamin,Mendy,DEF,MCI,5500000,2,29,3.2,5.81818181818182E-07,5.27272727272727E-06,0,178563,1,8,0,0,0,0,0,5.3,4220,-5,0,29,5,0.4,0,2.2,0,0,3,0,1,0.9,203556,0,-1,0,0,741,5914,0,0,164,Aston Villa,Crystal Palace,Sheffield United,Tottenham,West Ham,3.8,3.9,2.9,3.3,3.9,2.8,2.8,2.5,2.9,3.2,3.1,3,4.2,3,3.1,2.8,3.6
Nampalys,Mendy,MID,LEI,4300000,0,3,0.142857142857143,3.32225913621262E-08,6.97674418604651E-07,0,91076,0,1,0,0,0,0,0,0.7,4282,-2,0,3,2,0.1,0,0.3,0,0,0,0,0,1,89069,0,-1,0,0,70,1559,0,0,20,Southampton,Burnley,West Ham,Chelsea,Wolverhampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Chris,Mepham,DEF,BOU,4300000,0,26,2.4,5.58139534883721E-07,6.04651162790698E-06,0,107488,1,19,0,0,0,1,0,6,1531,-2,0,26,2,0.4,0,1.8,2,0,1,0,0,0.8,94042,0,-1,0,1,901,865,0,0,161,Watford,Norwich,Brighton,Aston Villa,Sheffield United,2.3,1.9,2.2,3.2,1.7,1.5,2,1.9,2.7,1.5,2.9,1.5,2.7,1.9,1.8,1.6,2
