FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Benjamin,Mendy,DEF,MCI,5900000,0,1,0.125,2.11864406779661E-08,1.69491525423729E-07,0,23486,0,0,0,0,0,0,0,0.2,2430,-1,0,1,1,0,0,0.2,0,0,0,0,0,0.5,29456,0,-1,0,0,45,390,0,0,6,Crystal Palace,Aston Villa,Southampton,Liverpool,Chelsea,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Nampalys,Mendy,MID,LEI,4400000,0,1,0.125,2.84090909090909E-08,2.27272727272727E-07,0,36162,0,0,0,0,0,0,0,0.2,1190,-1,0,1,1,0,0,0,0,0,0,0,0,0.8,24029,0,-1,0,0,1,634,0,0,2,Burnley,Southampton,Crystal Palace,Arsenal,Brighton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Chris,Mepham,DEF,BOU,4500000,0,13,1.625,3.61111111111111E-07,2.88888888888889E-06,0,82028,0,7,0,0,0,1,0,2.9,2592,0,0,13,0,0,0,0.2,2,0,0,0,0,1.1,84094,0,-1,0,1,271,9,0,0,53,Norwich,Watford,Man Utd,Newcastle,Wolverhampton,0,0,0,1.4,1,0.9,0.9,0.9,0.8,1.1,1,0.8,1.1,1.4,0.8,1.1,1.5,1.4,0.8,1,0.9,1.7,0.9,1.7,0.9,1.5,1.6,0.8,0.9,1.2
Max,Meyer,MID,CRY,5300000,0,5,0.625,1.17924528301887E-07,9.43396226415094E-07,0,8677,1,1,0,0,0,0,0,0.9,92,-2,0,5,2,0,0,0.2,0,0,1,0,0,0.1,3545,0,-1,0,0,155,12,0,0,16,Man City,Arsenal,Leicester,Chelsea,Liverpool,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Simon,Mignolet,GLK,LIV,4500000,0,0,0,0,0,0,2399,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,-1,0,0,0,2,0,0,0,Man Utd,Tottenham,Aston Villa,Man City,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luka,Milivojevic,MID,CRY,6700000,0,20,2.9,4.32835820895522E-07,2.98507462686567E-06,0,357107,5,7,0,0,0,1,0,3,2650,-3,0,20,3,0.5,0,3.2,3,0,3,0,0,2.7,25043,0,-1,0,1,630,467,0,0,81,Man City,Arsenal,Leicester,Chelsea,Liverpool,1.8,1.6,3.2,1.4,2.1,1.5,3.7,2,3.4,1.9,2.7,2.3,1.4,3.1,1.4,2.8,3.5,1.6,3.5,1.8,3.7,2.2,1.4,3.6,1.4,2.6,1.4,3.6,2,3
James,Milner,MID,LIV,5300000,13,23,2.875,5.42452830188679E-07,4.33962264150943E-06,0,43484,1,2,0,0,0,1,0,4.3,423,-2,0,23,2,0.7,0,3.8,3,0,1,0,2,0.6,21074,0,-1,0,1,225,2261,0,0,70,Man Utd,Tottenham,Aston Villa,Man City,Crystal Palace,1.9,2.3,1.8,1.4,2.1,2.7,2.9,3,3.1,2.2,1.8,2.5,2.9,1.8,3,2.9,2.1,2,2.1,2.8,3,2.4,3.1,1.7,2.2,2.6,2.9,2.3,1.9,2.7
Yerry,Mina,DEF,EVE,5400000,2,20,2.5,4.62962962962963E-07,3.7037037037037E-06,0,279157,1,13,0,0,0,0,0,3.7,5165,-1,1,20,1,0.1,0,0.5,4,0,2,0,0,3.4,345563,1,-1,0,0,720,955,-1,0,134,West Ham,Brighton,Tottenham,Southampton,Norwich,2.7,1.4,3,2,2.9,1.6,1.6,2.2,1.6,2.3,2.4,2.4,1.4,2.4,1.9,3.4,1.8,3.4,1.3,3.4,1.4,2.1,1.2,3.2,1.7,2.1,1.6,3.1,2.5,1.8
Tyrone,Mings,DEF,AVL,4600000,2,25,3.1,6.73913043478261E-07,5.43478260869565E-06,0,147851,1,12,0,0,0,0,0,5.4,4436,1,0,25,-1,0.5,0,2.2,3,0,2,0,1,5.9,396087,0,-1,0,0,720,2059,0,0,147,Brighton,Man City,Liverpool,Wolverhampton,Newcastle,3.2,2.2,2.8,2.4,4.4,2.3,2.1,4.1,3.5,2.8,3.8,2.6,1.7,2.5,2.2,3.9,1.7,4,3,3.3,2.4,2.9,3.4,2.9,2.5,4.4,4.4,2.9,3.1,2.8
Henrikh,Mkhitaryan,MID,ARS,6800000,0,4,1.3,1.91176470588235E-07,5.88235294117647E-07,0,108773,1,0,0,0,0,0,0,0.6,505,-2,0,4,2,0,0,0,0,0,1,0,0,0.9,22509,0,-1,0,0,110,6,0,0,3,Sheffield United,Crystal Palace,Wolverhampton,Leicester,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
